id_pay,id_order,dim_status,dim_type,m_amount,date_created
32122850,22670056,ACCEPTED,CB_SANS_CONTACT,10.7,2018-03-05 13:28:11
182643363,145819391,ACCEPTED,VOUCHER,-3.1,2020-10-07 11:08:13
45651251,33488143,ACCEPTED,AMERICAN_EXPRESS,56.0,2018-06-29 12:11:25
46462063,34134398,ACCEPTED,CB_SANS_CONTACT,14.5,2018-07-05 11:32:49
186365871,148924733,ACCEPTED,BANK_CHECK,1130.0,2020-10-29 15:45:49
97998818,75748890,ACCEPTED,UBER EATS,49.8,2019-06-04 21:03:13
147643037,116451200,ACCEPTED,VOUCHER,-1.3,2020-02-04 11:47:17
56698035,42126588,ACCEPTED,CB_SANS_CONTACT,13.9,2018-09-18 11:48:51
132665732,104172884,ACCEPTED,BANK_TRANSFER,220.5,2019-11-20 14:20:38
142588284,112317806,ACCEPTED,VOUCHER,-22.9,2020-01-11 10:01:44
63879114,47951009,ACCEPTED,CB_SANS_CONTACT,16.1,2018-11-06 12:46:00
139819346,110045666,ACCEPTED,BANK_CHECK,495.8,2019-12-25 11:48:45
5800550,3883842,ACCEPTED,AMERICAN_EXPRESS,75.0,2016-11-18 14:07:50
143152252,112786160,ACCEPTED,VOUCHER,-2.2,2020-01-14 11:00:17
2939964,2092834,ACCEPTED,BANK_CHECK,65.0,2016-07-21 21:17:29
179166776,142915288,ACCEPTED,VOUCHER,-5.8,2020-09-18 10:20:58
145324098,114556091,ACCEPTED,VOUCHER,-2.8,2020-01-24 12:17:48
67993291,51296511,ACCEPTED,CB_SANS_CONTACT,18.5,2018-12-04 19:08:25
59052523,44046458,ACCEPTED,CB_SANS_CONTACT,14.5,2018-10-04 11:48:17
125792822,98595282,ACCEPTED,VOUCHER,-1.07,2019-10-18 10:23:48
42382067,30875373,ACCEPTED,CB_SANS_CONTACT,10.1,2018-06-05 12:01:53
119701071,93568962,ACCEPTED,CB_SANS_CONTACT,16.1,2019-09-20 11:19:26
53901186,39974255,ACCEPTED,CB_SANS_CONTACT,14.5,2018-08-31 11:26:22
42280125,30799974,ACCEPTED,CB_SANS_CONTACT,11.9,2018-06-04 12:27:34
154707887,122182196,ACCEPTED,CB_SANS_CONTACT,44.1,2020-03-06 20:57:22
148139047,116825023,ACCEPTED,CB_SANS_CONTACT,24.9,2020-02-06 13:14:42
85266920,65277049,ACCEPTED,AMERICAN_EXPRESS,102.6,2019-03-26 22:37:24
143628330,113174298,ACCEPTED,VOUCHER,-0.8,2020-01-16 12:39:14
10172223,6970344,ACCEPTED,CARTE TICKET RESTAURANT,13.9,2017-03-31 12:34:53
