id_order,id_store,id_waiter,id_device,date_opened,date_closed,dim_status,dim_source,m_nb_customer,m_cached_payed,m_cached_price
122959166,8291,16823.0,15760.0,2020-03-11 11:36:07,2020-03-11 11:36:17,CLOSED,Tiller order,1,10.9,10.9
140639591,5210,9270.0,9251.0,2020-09-04 17:49:26,2020-09-04 19:01:02,CLOSED,Tiller order,4,80.1,80.1
11027335,351,461.0,128.0,2017-07-19 18:00:52,2017-07-19 19:39:40,CLOSED,Tiller iPAD,2,33.0,33.0
42512646,6008,10990.0,11065.0,2018-09-21 10:17:38,2018-09-21 11:14:06,CLOSED,Tiller iPAD,1,11.4,11.4
86371443,7872,16823.0,15009.0,2019-08-06 19:10:37,2019-08-06 20:04:22,CLOSED,Tiller iPAD,1,55.0,55.0
56878600,5498,10627.0,10214.0,2019-01-23 18:29:47,2019-01-23 20:16:30,CLOSED,Tiller iPAD,2,74.0,74.0
123364725,4364,7185.0,7011.0,2020-03-13 13:41:02,2020-03-13 13:42:46,CLOSED,Tiller order,1,133.0,133.0
88683429,5210,9270.0,9251.0,2019-08-23 10:37:01,2019-08-23 11:54:52,CLOSED,Tiller iPAD,2,65.8,65.8
88761789,730,1095.0,754.0,2019-08-23 17:36:12,2019-08-23 18:38:04,CLOSED,Tiller iPAD,3,49.5,49.5
89348186,730,1095.0,754.0,2019-08-27 17:35:24,2019-08-27 17:42:45,CLOSED,Tiller iPAD,2,82.7,82.7
89412130,7786,15509.0,14854.0,2019-08-28 09:35:05,2019-08-28 09:35:48,CLOSED,Tiller iPAD,1,61.8,61.8
89694325,351,461.0,128.0,2019-08-29 17:02:18,2019-08-29 19:43:45,CLOSED,Tiller iPAD,2,50.0,50.0
71773696,2035,2752.0,5949.0,2019-05-09 19:13:17,2019-05-09 19:22:07,CLOSED,Tiller iPAD,0,1.2,1.2
106700015,2035,2752.0,5949.0,2019-12-05 08:27:12,2019-12-05 08:27:39,CLOSED,Tiller iPAD,0,25.0,25.0
144931859,8291,26319.0,15760.0,2020-10-01 10:44:32,2020-10-01 10:44:34,CLOSED,Tiller order,1,10.9,10.9
112230108,5617,10977.0,10064.0,2020-01-10 17:51:56,2020-01-10 18:30:38,CLOSED,Tiller iPAD,1,15.5,15.5
113312952,2035,2752.0,5949.0,2020-01-17 10:32:06,2020-01-17 10:32:12,CLOSED,Tiller iPAD,0,1.2,1.2
50184556,6830,12894.0,13026.0,2018-11-24 21:28:27,2018-11-24 21:34:04,CLOSED,Tiller iPAD,2,179.4,179.4
50386223,8291,16823.0,15747.0,2018-11-27 11:28:03,2018-11-27 15:08:35,CLOSED,Tiller iPAD,1,20.8,20.8
1436794,351,461.0,128.0,2016-06-02 11:45:52,2016-06-02 12:24:05,CLOSED,Tiller iPAD,2,47.0,47.0
1993979,730,1095.0,754.0,2016-07-13 19:46:02,2016-07-13 20:29:20,CLOSED,Tiller iPAD,2,52.5,52.5
2167531,1513,2464.0,424.0,2016-07-28 10:47:38,2016-07-28 12:30:40,CLOSED,Tiller iPAD,2,23.25,23.25
2262467,2035,2753.0,716.0,2016-08-05 15:01:48,2016-08-05 15:01:56,CLOSED,Tiller iPAD,0,1.2,1.2
19805484,1513,2464.0,424.0,2018-01-22 20:35:41,2018-01-22 21:43:00,CLOSED,Tiller iPAD,2,43.2,43.2
20157524,360,472.0,129.0,2018-01-27 19:04:21,2018-01-27 21:07:00,CLOSED,Tiller iPAD,3,118.8,118.8
94864424,360,472.0,129.0,2019-09-27 13:24:23,2019-09-27 13:24:49,CLOSED,Tiller iPAD,1,35.0,35.0
96010547,6830,12894.0,13026.0,2019-10-03 19:51:38,2019-10-03 21:21:24,CLOSED,Tiller iPAD,4,94.9,94.9
